"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"1","60601","60601",8,2010,"60601",9732,63,11,18,6,89136,1717,36.6
"2","60602","60602",4,2010,"60602",1463,62,2,22,12,66748,1487,32.4
"3","60603","60603",1,2010,"60603",882,61,4,30,5,73239,2001,26.1
"4","60604","60604",1,2010,"60604",415,80,0,16,3,135807,1614,54
"5","60605","60605",10,2010,"60605",24972,58,18,17,5,58338,1560,33.1
"6","60606","60606",2,2010,"60606",2789,75,2,13,9,83005,1855,30.9
"7","60607","60607",14,2010,"60607",25134,53,16,19,8,50222,1303,30.6
"8","60608","60608",33,2010,"60608",78794,15,16,10,58,16542,636,31.3
"9","60609","60609",43,2010,"60609",62773,17,28,4,49,14552,613,30.4
"10","60610","60610",17,2010,"60610",38740,68,17,7,6,71176,1203,34.3
"11","60611","60611",22,2010,"60611",29722,75,4,15,4,107019,1549,39.5
"12","60612","60612",29,2010,"60612",36052,20,61,4,14,21407,767,30.6
"13","60613","60613",8,2010,"60613",49536,76,6,6,10,55034,1066,31.5
"14","60614","60614",29,2010,"60614",68363,82,4,5,7,67585,1232,29.8
"15","60615","60615",20,2010,"60615",40745,25,60,7,5,32992,876,33.9
"16","60616","60616",20,2010,"60616",49491,24,24,39,11,28052,819,35.8
"17","60617","60617",37,2010,"60617",83435,7,54,0,37,18242,648,36.1
"18","60618","60618",37,2010,"60618",97413,44,2,4,47,31862,873,32.9
"19","60619","60619",56,2010,"60619",64922,1,97,0,1,19987,701,39.4
"20","60620","60620",84,2010,"60620",73253,1,97,0,1,16347,721,38.2
"21","60621","60621",46,2010,"60621",33608,1,96,0,1,11893,676,31.6
"22","60622","60622",28,2010,"60622",54272,59,8,3,28,43393,988,31.1
"23","60623","60623",65,2010,"60623",85158,2,34,0,63,11463,611,27.8
"24","60624","60624",58,2010,"60624",39283,2,95,0,2,11731,690,27.9
"25","60625","60625",19,2010,"60625",78966,42,4,14,38,29124,855,33.4
"26","60626","60626",18,2010,"60626",51061,42,25,7,23,24054,788,33
"27","60628","60628",54,2010,"60628",71710,2,94,0,3,17025,748,37.5
"28","60629","60629",47,2010,"60629",113833,9,23,1,67,14299,743,29.2
"29","60630","60630",17,2010,"60630",57886,59,1,11,27,26705,866,38.1
"30","60631","60631",3,2010,"60631",28899,84,1,2,12,35878,1022,43.7
"31","60632","60632",28,2010,"60632",90845,10,2,5,83,13596,672,29.3
"32","60633","60633",3,2010,"60633",13474,32,25,1,42,20668,749,36.6
"33","60634","60634",15,2010,"60634",72718,59,1,4,35,24269,849,38.9
"34","60636","60636",61,2010,"60636",39918,1,94,0,3,11897,686,32.2
"35","60637","60637",45,2010,"60637",48270,16,77,4,2,19746,753,30.7
"36","60638","60638",9,2010,"60638",56033,54,3,1,41,25850,802,37.2
"37","60639","60639",48,2010,"60639",91934,7,15,0,77,14310,771,30.3
"38","60640","60640",27,2010,"60640",64365,53,18,13,13,35414,802,37.2
"39","60641","60641",20,2010,"60641",70730,38,2,4,54,23168,779,35.3
"40","60642","60642",16,2010,"60642",18312,59,11,5,21,45788,1035,31.7
"41","60643","60643",29,2010,"60643",51836,23,72,0,3,28249,779,42.1
"42","60644","60644",56,2010,"60644",47631,2,94,0,3,13381,715,32.5
"43","60645","60645",16,2010,"60645",46913,44,16,15,22,25500,893,35
"44","60646","60646",4,2010,"60646",28314,76,1,10,12,40071,761,42.7
"45","60647","60647",42,2010,"60647",87146,38,6,3,52,30368,862,31.6
"46","60649","60649",47,2010,"60649",45444,2,94,0,2,20347,723,37.9
"47","60651","60651",48,2010,"60651",61150,3,63,0,33,14599,730,32.7
"48","60652","60652",9,2010,"60652",42517,16,48,0,35,23889,946,34.9
"49","60653","60653",36,2010,"60653",31086,4,91,1,2,22333,608,35.6
"50","60654","60654",11,2010,"60654",15885,73,5,10,9,101469,1772,32.8
"51","60655","60655",7,2010,"60655",28173,86,7,1,6,35689,867,37.6
"52","60656","60656",7,2010,"60656",27468,77,1,8,12,29771,958,41.1
"53","60657","60657",24,2010,"60657",68088,81,3,7,7,63820,1138,30.5
"54","60659","60659",11,2010,"60659",39657,40,5,32,20,21675,888,35.1
"55","60660","60660",13,2010,"60660",42060,51,15,13,18,30160,794,36.2
"56","60661","60661",3,2010,"60661",7436,64,6,22,6,76827,1555,31
"57","60707","60707",5,2010,"60707",42712,58,7,3,29,26405,810,39.1
"58","60827","60827",4,2010,"60827",28547,3,92,0,4,16567,720,31
"59","60601","60601",6,2011,"60601",9732,63,11,18,6,89136,1717,36.6
"60","60602","60602",8,2011,"60602",1463,62,2,22,12,66748,1487,32.4
"61","60603","60603",5,2011,"60603",882,61,4,30,5,73239,2001,26.1
"62","60604","60604",6,2011,"60604",415,80,0,16,3,135807,1614,54
"63","60605","60605",7,2011,"60605",24972,58,18,17,5,58338,1560,33.1
"64","60606","60606",6,2011,"60606",2789,75,2,13,9,83005,1855,30.9
"65","60607","60607",14,2011,"60607",25134,53,16,19,8,50222,1303,30.6
"66","60608","60608",29,2011,"60608",78794,15,16,10,58,16542,636,31.3
"67","60609","60609",54,2011,"60609",62773,17,28,4,49,14552,613,30.4
"68","60610","60610",14,2011,"60610",38740,68,17,7,6,71176,1203,34.3
"69","60611","60611",18,2011,"60611",29722,75,4,15,4,107019,1549,39.5
"70","60612","60612",33,2011,"60612",36052,20,61,4,14,21407,767,30.6
"71","60613","60613",11,2011,"60613",49536,76,6,6,10,55034,1066,31.5
"72","60614","60614",31,2011,"60614",68363,82,4,5,7,67585,1232,29.8
"73","60615","60615",21,2011,"60615",40745,25,60,7,5,32992,876,33.9
"74","60616","60616",29,2011,"60616",49491,24,24,39,11,28052,819,35.8
"75","60617","60617",56,2011,"60617",83435,7,54,0,37,18242,648,36.1
"76","60618","60618",29,2011,"60618",97413,44,2,4,47,31862,873,32.9
"77","60619","60619",53,2011,"60619",64922,1,97,0,1,19987,701,39.4
"78","60620","60620",50,2011,"60620",73253,1,97,0,1,16347,721,38.2
"79","60621","60621",36,2011,"60621",33608,1,96,0,1,11893,676,31.6
"80","60622","60622",19,2011,"60622",54272,59,8,3,28,43393,988,31.1
