"","X.1","X","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"87914",139104,139104,7523254,"HS326620","2010-05-25 11:05:00","043XX S OAKENWALD AVE","0320","ROBBERY","STRONGARM - NO WEAPON","SIDEWALK","false","false",2123,2,4,39,"03",1185059,1876345,2010,"02/04/2016 06:33:39 AM",41.815845019,-87.596678791,"(41.815845019, -87.596678791)"
"92979",535859,535859,8145428,"HT380307","2011-07-04 10:30:00","023XX N LINCOLN AVE","0810","THEFT","OVER $500","STREET","false","false",1812,18,43,7,"06",1171157,1915588,2011,"02/04/2016 06:33:39 AM",41.92385,-87.64652,"(41.92384641, -87.646521939)"
"12710",1602179,1602179,9875719,"HX526703","2014-12-01 05:31:00","081XX S MARYLAND AVE","0460","BATTERY","SIMPLE","RESIDENCE","false","false",631,6,8,44,"08B",1183322,1851118,2014,"02/04/2016 06:33:39 AM",41.74666,-87.60384,"(41.746660544, -87.603835415)"
"20118",17330,17330,7328339,"HS131958","2010-01-21 11:00:00","007XX W GRAND AVE","0810","THEFT","OVER $500","STREET","false","false",1323,12,27,24,"06",1171264,1903691,2010,"02/04/2016 06:33:39 AM",41.891198035,-87.646478819,"(41.891198035, -87.646478819)"
"47698",409542,409542,7949523,"HT181886","2011-02-28 07:40:00","073XX S WOLCOTT AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false",735,7,17,67,"05",1164960,1855926,2011,"02/04/2016 06:33:39 AM",41.760261868,-87.670982648,"(41.760261868, -87.670982648)"
"76758",1937231,1937231,10570775,"HZ318660","2016-06-22 12:30:00","003XX W 74TH ST","0460","BATTERY","SIMPLE","APARTMENT","false","true",731,7,17,69,"08B",1175111,1855879,2016,"06/29/2016 03:52:46 PM",41.75991,-87.63378,"(41.759912394, -87.633780509)"
"86342",1915956,1915956,10505670,"HZ247250","2016-04-15 10:30:00","053XX S KEDZIE AVE","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","OTHER","false","false",822,8,14,63,"11",1155949,1869224,2016,"05/05/2016 03:54:03 PM",41.79694,-87.70365,"(41.796939201, -87.703651531)"
"92574",2003594,2003594,10678475,"HZ431408","2016-09-12 10:00:00","065XX S DR MARTIN LUTHER KING JR DR","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","false",312,3,20,69,"05",1180045,1861742,2016,"09/19/2016 03:50:56 PM",41.77589,-87.61552,"(41.775889548, -87.615518198)"
"43706",1612153,1612153,9894274,"HX489182","2014-10-31 06:00:00","033XX W FILLMORE ST","2093","NARCOTICS","FOUND SUSPECT NARCOTICS","POLICE FACILITY/VEH PARKING LOT","true","false",1134,11,24,29,"26",NA,NA,2014,"02/04/2016 06:33:39 AM",NA,NA,""
"28498",2319047,2319047,10517026,"HZ259128","2016-05-10 03:41:00","048XX W SCHUBERT AVE","2024","NARCOTICS","POSS: HEROIN(WHITE)","RESIDENCE","true","false",2521,25,31,19,"18",1143659,1917520,2016,"05/17/2016 03:49:21 PM",41.92971,-87.74751,"(41.929707923, -87.74751248)"
"19718",1830666,1830666,10357957,"HY547931","2015-12-23 04:24:00","023XX N SAYRE AVE","0320","ROBBERY","STRONGARM - NO WEAPON","OTHER COMMERCIAL TRANSPORTATION","false","false",2512,25,36,18,"03",1129208,1914562,2015,"12/30/2015 04:03:21 PM",41.92185,-87.80068,"(41.921849462, -87.800684446)"
"88947",1160293,1160293,9135475,"HW280381","2013-05-18 12:00:00","010XX N LOCKWOOD AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","false",1524,15,37,25,"26",1140833,1906448,2013,"02/04/2016 06:33:39 AM",41.89938,-87.75817,"(41.899377644, -87.758170246)"
"63015",634350,634350,8299067,"HT532467","2011-10-07 01:00:00","016XX N RICHMOND ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE-GARAGE","false","false",1421,14,35,24,"05",1156562,1910956,2011,"02/04/2016 06:33:39 AM",41.91144,-87.70028,"(41.911444085, -87.700275294)"
"60504",362108,362108,7871284,"HT101911","2011-01-01 09:00:00","021XX S KEDZIE AVE","0320","ROBBERY","STRONGARM - NO WEAPON","CTA BUS STOP","false","false",1022,10,24,30,"03",1155350,1889747,2011,"02/04/2016 06:33:39 AM",41.853268942,-87.705298,"(41.853268942, -87.705298)"
"39045",236596,236596,7675338,"HS480375","2010-08-11 05:00:00","019XX W 43RD ST","1206","DECEPTIVE PRACTICE","THEFT BY LESSEE,MOTOR VEH","OTHER COMMERCIAL TRANSPORTATION","false","false",914,9,12,61,"11",1164327,1876162,2010,"02/04/2016 06:33:39 AM",41.815805381,-87.672732767,"(41.815805381, -87.672732767)"
"42633",605223,605223,8253520,"HT487285","2011-09-08 04:00:00","052XX W FERDINAND ST","2024","NARCOTICS","POSS: HEROIN(WHITE)","SIDEWALK","true","false",1523,15,28,25,"18",1141268,1902644,2011,"02/04/2016 06:33:39 AM",41.88893,-87.75667,"(41.888930998, -87.756666383)"
"31703",135622,135622,7517954,"HS321221","2010-05-22 02:00:00","028XX S PULASKI RD","0312","ROBBERY","ARMED:KNIFE/CUTTING INSTRUMENT","SIDEWALK","false","false",1031,10,22,30,"03",1150170,1884913,2010,"02/04/2016 06:33:39 AM",41.840106225,-87.724436322,"(41.840106225, -87.724436322)"
"80136",2270695,2270695,11078311,"JA419939","2017-09-05 04:53:00","081XX S MICHIGAN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","false",631,6,6,44,"08B",1178568,1850968,2017,"09/12/2017 03:54:26 PM",41.74636,-87.62126,"(41.746358206, -87.62125965)"
"4045",1201509,1201509,9201083,"HW346232","2013-07-03 11:40:00","044XX N BROADWAY","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false",1913,19,46,3,"06",1168469,1929861,2013,"02/04/2016 06:33:39 AM",41.96307,-87.65598,"(41.963070794, -87.655984213)"
"46724",328814,328814,7817935,"HS628217","2010-11-22 04:45:00","041XX W HARRISON ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",1132,11,24,26,"14",1148703,1897034,2010,"02/04/2016 06:33:39 AM",41.873396169,-87.729506862,"(41.873396169, -87.729506862)"
"7251",1346915,1346915,9436428,"HW580655","2013-12-22 02:30:00","0000X N STATE ST","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false",112,1,42,32,"06",1176365,1900502,2013,"02/04/2016 06:33:39 AM",41.88233,-87.62784,"(41.88233367, -87.627841791)"
"87202",649847,649847,8322455,"HT556969","2011-10-24 10:49:00","029XX S STATE ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","CHA PARKING LOT/GROUNDS","true","false",2113,1,3,35,"18",1176758,1885480,2011,"02/04/2016 06:33:39 AM",41.8411,-87.62685,"(41.841103444, -87.626852618)"
"20525",719273,719273,8431360,"HV109985","2012-01-08 05:46:00","066XX S MAY ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","STREET","true","false",724,7,17,68,"18",1169794,1860778,2012,"02/04/2016 06:33:39 AM",41.77347,-87.65313,"(41.773472867, -87.653125298)"
"88079",2364220,2364220,9949984,"HY138350","2015-02-03 02:04:00","025XX N NORMANDY AVE","0860","THEFT","RETAIL THEFT","PARKING LOT/GARAGE(NON.RESID.)","false","false",2512,25,36,18,"06",1131321,1916235,2015,"08/17/2015 03:03:40 PM",41.9264,-87.79288,"(41.926404101, -87.792881805)"
"44163",2229656,2229656,11024456,"JA355373","2017-07-06 03:00:00","019XX S TRUMBULL AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","true",1024,10,24,29,"26",1153725,1890403,2017,"07/24/2017 03:52:11 PM",41.8551,-87.71124,"(41.855101541, -87.711244899)"
"21227",269976,269976,7725828,"HS533459","2010-09-25 02:00:00","041XX N ASHLAND AVE","0890","THEFT","FROM BUILDING","RESIDENCE PORCH/HALLWAY","false","false",1923,19,47,6,"06",1164914,1927544,2010,"02/04/2016 06:33:39 AM",41.956789218,-87.669120657,"(41.956789218, -87.669120657)"
"33248",232266,232266,7668854,"HS473633","2010-08-19 09:00:00","121XX S WALLACE ST","0820","THEFT","$500 AND UNDER","RESIDENTIAL YARD (FRONT/BACK)","false","false",523,5,34,53,"06",1174497,1824463,2010,"02/04/2016 06:33:39 AM",41.673716148,-87.636962086,"(41.673716148, -87.636962086)"
"17107",521360,521360,8123054,"HT358128","2011-06-20 12:00:00","021XX W ARTHUR AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT","false","false",2412,24,50,2,"26",1161015,1943137,2011,"02/04/2016 06:33:39 AM",41.99966,-87.68302,"(41.999659094, -87.683019265)"
"67597",1296419,1296419,9353455,"HW496693","2013-10-17 02:50:00","057XX S CICERO AVE","0460","BATTERY","SIMPLE","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","true","false",813,8,23,56,"08B",1145654,1866253,2013,"02/04/2016 06:33:39 AM",41.78899,-87.74148,"(41.788987036, -87.74147999)"
"27007",1885832,1885832,10453050,"HZ191878","2016-03-17 03:37:00","053XX S WESTERN AVE","0820","THEFT","$500 AND UNDER","SIDEWALK","false","false",923,9,14,63,"06",1161283,1869012,2016,"03/24/2016 03:46:07 PM",41.79625,-87.6841,"(41.796248561, -87.684096904)"
"51375",101564,101564,7465149,"HS267222","2010-04-20 03:25:00","058XX W WABANSIA AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false",2531,25,29,25,"18",1137017,1910702,2010,"02/04/2016 06:33:39 AM",41.911120486,-87.772084348,"(41.911120486, -87.772084348)"
"99745",2299833,2299833,11117598,"JA469905","2017-10-13 02:13:00","019XX N CICERO AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false",2533,25,31,19,"06",1144090,1912429,2017,"10/20/2017 03:54:35 PM",41.91573,-87.74606,"(41.915729613, -87.746056778)"
"93367",326830,326830,7815106,"HS624796","2010-11-18 01:00:00","011XX W WILSON AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",2311,19,46,3,"06",1167612,1930696,2010,"02/04/2016 06:33:39 AM",41.96538061,-87.659110921,"(41.96538061, -87.659110921)"
