"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"1",17001000100,4593,96,0,0,4,25562,591,47.2
"2",17001000201,1979,96,4,0,1,22667,542,43.9
"3",17001000202,2801,86,4,1,3,20745,526,30.6
"4",17001000400,4095,88,10,0,1,18678,377,42.4
"5",17001000500,2066,79,20,0,0,15948,408,42.7
"6",17001000600,3681,96,2,1,1,34200,466,35.5
"7",17001000700,1485,62,26,0,1,14357,377,30.5
"8",17001000800,2838,81,12,0,1,13041,371,34.3
"9",17001000900,2512,90,6,1,0,18504,429,33.4
"10",17001001001,3640,95,2,1,1,20446,512,32.7
"11",17001001002,3198,96,2,0,0,23333,903,47.1
"12",17001001100,7974,90,1,5,2,29529,538,39.3
"13",17001010100,4073,96,0,0,3,23774,361,42.1
"14",17001010200,3712,96,1,0,0,22976,309,42.4
"15",17001010300,6128,98,1,0,1,23174,338,37.9
"16",17001010400,3336,100,0,0,0,27046,429,48
"17",17001010500,2987,98,1,0,0,36678,538,47.2
"18",17001010600,6054,99,0,0,0,25985,348,43.1
"19",17003957600,2821,77,17,1,1,15169,335,41.1
"20",17003957700,2146,78,19,0,3,15705,317,45.3
"21",17003957800,1662,28,68,1,3,12797,270,39
"22",17003957900,1351,37,59,0,0,8079,236,36
"23",17005951200,2992,93,4,1,0,28779,472,46.4
"24",17005951300,6762,84,2,2,3,20931,461,30.1
"25",17005951400,3066,93,1,1,5,21914,425,43.6
"26",17005951500,4845,90,1,0,4,23716,502,43.2
"27",17007010100,8452,61,3,0,34,20089,612,32.2
"28",17007010200,5899,63,2,1,34,18552,491,34.1
"29",17007010300,6680,64,3,0,33,18386,492,36.2
"30",17007010400,6994,73,2,3,21,25332,771,38.2
"31",17007010500,10081,87,5,2,5,40141,395,44.2
"32",17007010601,3830,85,0,0,15,24823,531,39.9
"33",17007010602,12132,86,1,2,10,26440,934,35
"34",17009970400,2893,94,0,2,1,29716,492,44.3
"35",17009970500,4011,66,25,0,8,13947,336,34.4
"36",17011964700,2864,97,0,0,2,28371,472,44.4
"37",17011964800,3583,96,0,0,3,23772,434,42.2
"38",17011964900,2414,96,1,0,2,26652,387,46.3
"39",17011965000,3866,64,1,0,34,19378,427,36.4
"40",17011965100,4312,88,1,1,9,33451,576,41.4
"41",17011965200,3431,84,2,0,12,22510,450,40.6
"42",17011965300,3638,95,0,0,3,29091,546,43.4
"43",17011965400,3678,94,1,1,2,28897,490,48.1
"44",17011965500,3698,93,0,1,5,26344,475,48.7
"45",17011965600,3110,96,0,1,1,28017,422,42.6
"46",17013951200,2858,98,0,0,0,25429,352,45
"47",17013951300,2204,98,0,0,0,28862,398,45.4
"48",17015960100,3669,95,0,0,3,29183,428,51.3
"49",17015960200,2219,99,0,1,0,28235,399,49.1
"50",17015960300,3099,93,0,0,5,20499,390,44.4
"51",17015960400,2371,93,1,0,2,32474,358,43.7
"52",17015960500,2412,95,0,0,2,25617,348,42
"53",17015960600,1429,91,4,0,5,28087,431,45.6
"54",17017960100,2540,97,0,0,2,24706,415,40.1
"55",17017960200,2587,94,1,0,4,24473,370,43.9
"56",17017960300,3062,87,3,0,10,25315,435,44.4
"57",17017960400,2606,64,1,0,32,18567,425,36.1
"58",17017960500,2735,49,10,0,40,17977,444,30.8
"59",17019000200,1500,10,86,1,0,15790,557,43.6
"60",17019000301,4312,69,7,15,8,6066,762,21.5
"61",17019000302,3005,40,8,43,6,12075,634,23.3
"62",17019000401,4819,69,5,17,5,3860,706,20
"63",17019000402,4256,76,5,12,5,6157,721,21.3
"64",17019000500,3779,77,5,9,6,33056,546,32.8
"65",17019000700,3610,38,31,4,26,14947,486,29
"66",17019000800,5065,40,26,23,11,21041,830,28.4
"67",17019000901,4647,32,54,3,8,14245,631,27.8
"68",17019000902,6549,68,19,9,4,26897,876,30.9
"69",17019001000,4442,72,17,5,1,27956,609,37.3
"70",17019001100,3987,82,8,4,4,36702,817,40.4
"71",17019001201,6855,54,21,16,4,22366,734,32.4
"72",17019001203,4931,80,11,3,2,34187,845,35.7
"73",17019001204,3571,77,1,18,3,44792,586,43.5
"74",17019001205,5718,70,5,18,6,52026,1062,34.7
"75",17019001206,1775,89,2,5,4,56646,601,57.7
"76",17019001301,5926,78,6,11,4,41276,816,39.7
"77",17019001302,3790,79,6,9,4,47420,873,54
"78",17019001400,6894,64,5,17,9,16053,624,19.8
"79",17019005300,6225,29,39,27,3,11737,1073,22.9
"80",17019005401,4100,66,19,3,9,21842,642,30.3
"81",17019005402,2920,84,5,4,5,25850,626,44.3
"82",17019005500,5727,71,15,7,4,25012,611,33.6
"83",17019005600,6084,65,25,5,3,25758,556,31.3
"84",17019005701,4321,69,18,9,3,34984,529,45
"85",17019005702,3221,78,18,2,1,36864,699,38.7
"86",17019005800,3828,77,5,11,7,29504,766,23.9
"87",17019005900,6301,60,7,22,8,6555,785,20.4
"88",17019006000,3679,37,10,42,6,9280,670,20.2
"89",17019010100,4610,67,16,0,9,20010,429,36
"90",17019010204,4231,60,14,1,21,22990,466,36.6
"91",17019010300,4177,47,37,2,9,14913,553,27.6
"92",17019010400,4798,93,2,0,3,26399,436,40.4
"93",17019010500,4462,97,0,0,1,30449,515,42.9
"94",17019010601,6181,97,0,1,1,34744,656,38.5
"95",17019010603,6780,93,1,1,0,35519,685,41.4
"96",17019010604,2986,89,5,1,0,30659,511,43.1
"97",17019010700,7910,97,0,0,2,30029,627,36.9
"98",17019010800,4653,95,1,1,3,31047,559,40.6
"99",17019010900,9565,94,1,0,4,29569,690,34.9
"100",17019011000,3828,77,10,2,9,26680,593,30.5
"101",17019011100,2410,49,2,36,10,14988,746,23.8
"102",17021958100,2900,97,0,1,1,25590,446,41.2
"103",17021958200,4121,97,0,1,1,24573,409,39.2
"104",17021958300,4210,95,1,2,1,25680,436,47.2
"105",17021958400,3689,97,1,1,1,26717,372,45.3
"106",17021958500,2820,95,1,0,4,24176,455,39
"107",17021958600,2217,96,0,0,3,28212,448,36
"108",17021958700,4887,87,9,0,2,18003,394,38.9
"109",17021958800,2936,99,0,0,0,17742,409,40.5
"110",17021958900,2540,96,2,0,0,14504,405,37.2
"111",17021959000,4331,99,0,0,1,32073,511,45.6
"112",17023060100,4978,98,0,1,0,25159,549,43.2
"113",17023060200,4219,96,1,0,2,23560,446,40.7
"114",17023060300,5370,97,0,0,2,23474,344,42.8
"115",17023060400,1717,100,0,0,0,26170,382,45.6
"116",17025971900,2355,97,0,1,0,28293,602,42.3
"117",17025972000,2855,98,1,1,0,24124,295,47.6
"118",17025972100,5317,95,1,1,0,18792,343,41.8
"119",17025972200,3217,97,0,0,1,22001,239,45
"120",17027900100,6100,97,0,1,2,33020,592,40.9
"121",17027900200,2073,99,0,0,1,32830,378,39.7
"122",17027900300,6847,96,0,0,3,30311,587,37.5
"123",17027900401,1376,97,1,0,0,22353,501,45.5
"124",17027900402,5265,92,3,1,2,27851,505,37.8
"125",17027900500,7077,79,13,0,6,18938,389,39.5
"126",17027900601,2364,98,0,0,1,29816,403,39.1
"127",17027900602,6789,91,3,0,3,28653,559,41.1
"128",17029000100,3106,97,0,0,2,21878,343,42.1
"129",17029000200,6276,99,1,0,0,30835,571,41
"130",17029000300,4666,96,1,0,1,24247,443,40.6
"131",17029000400,2269,96,0,0,3,15176,424,41.3
"132",17029000500,6439,95,1,1,2,17547,450,38.7
"133",17029000600,3771,96,0,0,0,26278,382,43.6
"134",17029000700,6575,86,9,2,2,17009,550,23.4
"135",17029000800,5700,74,14,3,7,6725,478,20.4
"136",17029000900,4335,93,3,2,1,40627,520,41.8
"137",17029001000,3789,85,5,1,5,25524,518,39.8
"138",17029001100,3347,94,2,0,2,20694,437,39.2
"139",17029001200,3459,94,0,0,1,19409,408,32
"140",17031010100,5068,34,45,5,12,21845,742,32.4
"141",17031010201,7316,22,46,5,25,19853,857,30.6
"142",17031010202,2583,38,32,2,25,21658,870,41
"143",17031010300,6065,44,26,14,15,25705,795,39.4
"144",17031010400,4694,65,15,6,11,26260,814,26.5
"145",17031010501,3816,58,29,4,4,26070,757,37.2
"146",17031010502,3760,54,14,15,16,22552,760,27.4
"147",17031010503,2325,61,8,12,15,23929,624,34.1
"148",17031010600,6946,35,35,1,25,25849,836,34.1
"149",17031010701,3943,33,17,3,45,26701,857,35.6
"150",17031010702,5520,21,22,4,51,19562,816,30.9
"151",17031020100,4182,31,37,20,11,20853,928,34.7
"152",17031020200,6556,65,6,21,6,28273,935,40.8
"153",17031020301,5233,71,5,9,12,29207,774,40.4
"154",17031020302,4514,58,12,14,16,53216,898,41.3
"155",17031020400,4380,44,16,14,24,26886,915,38.5
"156",17031020500,6044,24,17,20,32,15909,810,33.1
"157",17031020601,6595,56,5,16,19,18795,922,29.7
"158",17031020602,3932,25,10,31,31,20691,882,35.4
"159",17031020701,1920,55,8,15,14,36737,1254,39.2
"160",17031020702,8010,43,2,38,14,17522,860,35.3
"161",17031020801,4797,39,1,15,39,23720,858,40.2
"162",17031020802,7251,25,5,52,16,16782,910,34.4
"163",17031020901,5363,25,15,28,27,18268,902,31.3
"164",17031020902,4528,46,19,24,11,18347,795,36.8
"165",17031030101,3855,45,19,10,22,32525,754,43.6
"166",17031030102,3101,47,20,10,18,31002,748,45.7
"167",17031030103,2138,56,14,12,17,22863,734,32.3
"168",17031030104,3536,49,17,15,8,17073,832,22.4
"169",17031030200,5709,71,8,5,14,41043,929,33.3
"170",17031030300,2931,37,13,8,41,22786,792,35.9
"171",17031030400,2589,50,11,8,28,32141,714,35.6
"172",17031030500,6588,52,7,9,31,36577,977,35.5
"173",17031030601,3169,52,21,15,9,30191,736,41.9
"174",17031030603,2123,36,37,17,7,20710,718,32.1
"175",17031030604,2860,50,17,27,3,38458,881,41.6
"176",17031030701,1973,42,19,28,5,24930,691,36.6
"177",17031030702,1538,77,3,19,1,46836,887,52
"178",17031030703,2620,66,16,9,6,35269,679,37.5
"179",17031030706,3339,49,20,12,15,39966,889,44.1
"180",17031030800,4200,61,3,13,15,48779,1102,36.8
"181",17031030900,3279,59,2,15,21,38550,1121,37.8
"182",17031031000,3218,68,3,10,16,43078,943,38.4
"183",17031031100,4228,62,5,16,15,44254,897,38.6
"184",17031031200,5323,39,31,14,11,22720,451,41.5
"185",17031031300,7491,40,25,20,11,29334,728,43.2
"186",17031031400,5216,72,8,4,10,54204,1104,41.8
"187",17031031501,3321,41,30,22,6,24380,723,38.7
"188",17031031502,4532,30,42,4,18,20389,564,33.5
"189",17031031700,6564,53,25,8,13,35162,677,33.9
"190",17031031800,1774,69,1,12,17,42167,763,32.5
"191",17031031900,2272,74,6,8,10,51892,942,37.7
"192",17031032100,6968,70,11,8,10,43170,852,32.6
"193",17031040100,4074,62,6,7,22,32416,853,39.2
"194",17031040201,5679,71,1,10,15,37413,1051,34.3
"195",17031040202,6816,49,9,20,19,24973,827,34.7
"196",17031040300,2545,55,8,25,8,37542,1050,44.5
"197",17031040401,2982,68,2,7,20,40880,919,37.3
"198",17031040402,4431,65,5,13,15,45456,918,33.1
"199",17031040600,2529,74,3,5,16,48662,958,34.8
"200",17031040700,3168,66,2,6,24,50016,1063,37.5
"201",17031040800,1766,79,3,7,5,39813,1155,34.8
"202",17031040900,2174,74,0,5,16,54620,890,33.1
"203",17031050100,2558,82,2,3,12,52999,1155,31.6
"204",17031050200,5072,64,2,4,29,47146,914,36.5
"205",17031050300,2531,74,0,6,16,43384,998,37.1
"206",17031050500,5204,84,1,2,8,56065,1284,35.5
"207",17031050600,2503,83,2,5,8,48473,1243,30.7
"208",17031050700,1488,86,1,1,10,60980,1345,33.1
"209",17031050800,1349,87,0,4,6,94813,1488,34.2
"210",17031050900,1644,91,0,4,3,56784,999,32
"211",17031051000,1551,76,2,9,13,64901,1278,30.7
"212",17031051100,1683,71,6,4,17,49099,977,31
"213",17031051200,1630,76,6,6,11,67247,1196,32.9
"214",17031051300,2730,81,2,1,14,76266,1334,32.6
"215",17031051400,2373,68,3,2,21,55319,1033,30.6
"216",17031060100,2582,79,6,1,13,73155,1193,33.5
"217",17031060200,1835,76,4,6,13,48611,957,34.2
"218",17031060300,3270,94,0,3,2,68971,1354,29.7
"219",17031060400,4162,83,0,3,12,68643,1212,28.6
"220",17031060500,1157,74,4,12,8,48132,816,40.6
"221",17031060800,4834,78,5,11,5,67705,1182,31.9
"222",17031060900,6557,66,6,5,17,51450,997,33.7
"223",17031061000,1672,70,1,10,16,53702,1301,27.6
"224",17031061100,1253,92,0,4,4,50527,1383,27.9
"225",17031061200,2296,86,1,4,3,52656,1649,26.6
"226",17031061500,2028,86,0,3,9,64217,1485,28.8
"227",17031061800,1145,80,1,7,10,42172,982,29.3
"228",17031061901,3767,72,4,11,11,53634,960,31.3
"229",17031061902,3891,79,5,5,7,66619,1001,39.9
"230",17031062000,2762,82,5,4,6,57382,1112,30.6
"231",17031062100,3313,80,1,13,5,62008,1260,29.9
"232",17031062200,3085,84,1,5,8,67582,1584,29
"233",17031062300,1668,89,0,4,5,71851,1444,28.3
