"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"1",1,"60601",5,2011,"60601",9732,63,11,18,6,89136,1717,36.6,2,2,1.91024231168164
"2",2,"60602",7,2011,"60602",1463,62,2,22,12,66748,1487,32.4,2,2,1.08994090319555
"3",3,"60603",4,2011,"60603",882,61,4,30,5,73239,2001,26.1,2,2,1.32777261851104
"4",4,"60604",6,2011,"60604",415,80,0,16,3,135807,1614,54,2,2,3.62027835936138
"5",5,"60605",6,2011,"60605",24972,58,18,17,5,58338,1560,33.1,2,3,0.78179659171762
"6",6,"60606",5,2011,"60606",2789,75,2,13,9,83005,1855,30.9,2,2,1.68560107818922
"7",7,"60607",14,2011,"60607",25134,53,16,19,8,50222,1303,30.6,2,3,0.484424507061864
"8",8,"60608",18,2011,"60608",78794,15,16,10,58,16542,636,31.3,2,5,-0.749618347941323
"9",9,"60609",36,2011,"60609",62773,17,28,4,49,14552,613,30.4,2,5,-0.822532400241095
"10",10,"60610",10,2011,"60610",38740,68,17,7,6,71176,1203,34.3,2,2,1.25218382961937
"11",11,"60611",15,2011,"60611",29722,75,4,15,4,107019,1549,39.5,2,2,2.56547949624286
"12",12,"60612",24,2011,"60612",36052,20,61,4,14,21407,767,30.6,2,5,-0.571363642193386
"13",13,"60613",9,2011,"60613",49536,76,6,6,10,55034,1066,31.5,2,2,0.660737280763626
"14",14,"60614",27,2011,"60614",68363,82,4,5,7,67585,1232,29.8,2,1,1.1206087734342
"15",15,"60615",12,2011,"60615",40745,25,60,7,5,32992,876,33.9,2,4,-0.146886609081393
"16",16,"60616",18,2011,"60616",49491,24,24,39,11,28052,819,35.8,2,4,-0.327889331875804
"17",17,"60617",34,2011,"60617",83435,7,54,0,37,18242,648,36.1,2,5,-0.687329961554582
"18",18,"60618",20,2011,"60618",97413,44,2,4,47,31862,873,32.9,2,3,-0.188290065914932
"19",19,"60619",30,2011,"60619",64922,1,97,0,1,19987,701,39.4,2,5,-0.623392764939958
"20",20,"60620",26,2011,"60620",73253,1,97,0,1,16347,721,38.2,2,5,-0.756763192262155
"21",21,"60621",20,2011,"60621",33608,1,96,0,1,11893,676,31.6,2,5,-0.919958764595415
"22",22,"60622",13,2011,"60622",54272,59,8,3,28,43393,988,31.1,2,3,0.234208394923599
"23",23,"60623",36,2011,"60623",85158,2,34,0,63,11463,611,27.8,2,5,-0.935714062328531
"24",24,"60624",43,2011,"60624",39283,2,95,0,2,11731,690,27.9,2,5,-0.925894481415798
"25",25,"60625",11,2011,"60625",78966,42,4,14,38,29124,855,33.4,2,3,-0.288611008224871
"26",26,"60626",7,2011,"60626",51061,42,25,7,23,24054,788,33,2,3,-0.474376960566503
"27",27,"60628",38,2011,"60628",71710,2,94,0,3,17025,748,37.5,2,5,-0.731921118162031
"28",28,"60629",36,2011,"60629",113833,9,23,1,67,14299,743,29.2,2,5,-0.831802377744534
"29",29,"60630",9,2011,"60630",57886,59,1,11,27,26705,866,38.1,2,3,-0.377243718030474
