"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"1",1,"60601",3,2010,"60601",9732,63,11,18,6,89136,1717,36.6,1,2,2.21614310911353
"2",2,"60602",2,2010,"60602",1463,62,2,22,12,66748,1487,32.4,1,2,1.30866001469331
"3",3,"60603",1,2010,"60603",882,61,4,30,5,73239,2001,26.1,1,2,1.57176849985865
"4",4,"60606",1,2010,"60606",2789,75,2,13,9,83005,1855,30.9,1,2,1.96762699101945
"5",5,"60607",2,2010,"60607",25134,53,16,19,8,50222,1303,30.6,1,3,0.6387892974167
"6",6,"60608",12,2010,"60608",78794,15,16,10,58,16542,636,31.3,1,5,-0.726407710805259
"7",7,"60609",18,2010,"60609",62773,17,28,4,49,14552,613,30.4,1,5,-0.807071073226925
"8",8,"60610",2,2010,"60610",38740,68,17,7,6,71176,1203,34.3,1,2,1.48814612966976
"9",9,"60611",5,2010,"60611",29722,75,4,15,4,107019,1549,39.5,1,2,2.94101894337818
"10",10,"60612",12,2010,"60612",36052,20,61,4,14,21407,767,30.6,1,5,-0.529208083578423
"11",11,"60613",3,2010,"60613",49536,76,6,6,10,55034,1066,31.5,1,2,0.833840603935824
"12",12,"60614",3,2010,"60614",68363,82,4,5,7,67585,1232,29.8,1,1,1.34258726813398
"13",13,"60615",6,2010,"60615",40745,25,60,7,5,32992,876,33.9,1,4,-0.0596176043548069
"14",14,"60616",9,2010,"60616",49491,24,24,39,11,28052,819,35.8,1,4,-0.259857308054821
"15",15,"60617",13,2010,"60617",83435,7,54,0,37,18242,648,36.1,1,5,-0.65749931074655
"16",16,"60618",11,2010,"60618",97413,44,2,4,47,31862,873,32.9,1,3,-0.105421423217361
"17",17,"60619",27,2010,"60619",64922,1,97,0,1,19987,701,39.4,1,5,-0.586766864803933
"18",18,"60620",37,2010,"60620",73253,1,97,0,1,16347,721,38.2,1,5,-0.734311909635523
"19",19,"60621",21,2010,"60621",33608,1,96,0,1,11893,676,31.6,1,5,-0.914851917789341
"20",20,"60622",7,2010,"60622",54272,59,8,3,28,43393,988,31.1,1,3,0.361980200945567
"21",21,"60623",29,2010,"60623",85158,2,34,0,63,11463,611,27.8,1,5,-0.932281689568897
"22",22,"60624",20,2010,"60624",39283,2,95,0,2,11731,690,27.9,1,5,-0.921418482971407
"23",23,"60625",10,2010,"60625",78966,42,4,14,38,29124,855,33.4,1,3,-0.216404481664859
"24",24,"60626",6,2010,"60626",51061,42,25,7,23,24054,788,33,1,3,-0.421913651251715
"25",25,"60628",15,2010,"60628",71710,2,94,0,3,17025,748,37.5,1,5,-0.706829618317991
"26",26,"60629",21,2010,"60629",113833,9,23,1,67,14299,743,29.2,1,5,-0.81732626452978
"27",27,"60630",10,2010,"60630",57886,59,1,11,27,26705,866,38.1,1,3,-0.314457081513104
"28",28,"60631",2,2010,"60631",28899,84,1,2,12,35878,1022,43.7,1,1,0.0573645383330962
"29",29,"60632",7,2010,"60632",90845,10,2,5,83,13596,672,29.3,1,5,-0.845821914671705
"30",30,"60633",2,2010,"60633",13474,32,25,1,42,20668,749,36.6,1,4,-0.559162970427474
"31",31,"60634",4,2010,"60634",72718,59,1,4,35,24269,849,38.9,1,3,-0.413198765361937
"32",32,"60636",28,2010,"60636",39918,1,94,0,3,11897,686,32.2,1,5,-0.914689780377439
"33",33,"60637",20,2010,"60637",48270,16,77,4,2,19746,753,30.7,1,5,-0.59653564387108
"34",34,"60638",3,2010,"60638",56033,54,3,1,41,25850,802,37.2,1,3,-0.349113953307338
"35",35,"60639",21,2010,"60639",91934,7,15,0,77,14310,771,30.3,1,5,-0.816880386647047
"36",36,"60640",6,2010,"60640",64365,53,18,13,13,35414,802,37.2,1,3,0.0385565985523661
"37",37,"60641",8,2010,"60641",70730,38,2,4,54,23168,779,35.3,1,4,-0.457827087988196
"38",38,"60642",4,2010,"60642",18312,59,11,5,21,45788,1035,31.7,1,3,0.459059976322396
"39",39,"60643",6,2010,"60643",51836,23,72,0,3,28249,779,42.1,1,4,-0.251872040518606
"40",40,"60644",17,2010,"60644",47631,2,94,0,3,13381,715,32.5,1,5,-0.854536800561483
"41",41,"60645",5,2010,"60645",46913,44,16,15,22,25500,893,35,1,3,-0.363300976848837
"42",42,"60646",1,2010,"60646",28314,76,1,10,12,40071,761,42.7,1,2,0.227325080360254
"43",43,"60647",17,2010,"60647",87146,38,6,3,52,30368,862,31.6,1,4,-0.165979746563074
"44",44,"60649",25,2010,"60649",45444,2,94,0,2,20347,723,37.9,1,5,-0.572174497732677
"45",45,"60651",21,2010,"60651",61150,3,63,0,33,14599,730,32.7,1,5,-0.805165958637067
"46",46,"60652",5,2010,"60652",42517,16,48,0,35,23889,946,34.9,1,5,-0.428601819492708
"47",47,"60653",13,2010,"60653",31086,4,91,1,2,22333,608,35.6,1,5,-0.491673272722915
"48",48,"60654",2,2010,"60654",15885,73,5,10,9,101469,1772,32.8,1,2,2.71605328436298
"49",49,"60655",3,2010,"60655",28173,86,7,1,6,35689,867,37.6,1,1,0.0497035456206867
"50",50,"60656",3,2010,"60656",27468,77,1,8,12,29771,958,41.1,1,2,-0.190178755289573
"51",51,"60657",7,2010,"60657",68088,81,3,7,7,63820,1138,30.5,1,1,1.18997542918042
"52",52,"60659",4,2010,"60659",39657,40,5,32,20,21675,888,35.1,1,4,-0.518344876980933
"53",53,"60660",4,2010,"60660",42060,51,15,13,18,30160,794,36.2,1,3,-0.174410891982022
"54",54,"60661",1,2010,"60661",7436,64,6,22,6,76827,1555,31,1,2,1.7172057583355
"55",55,"60707",2,2010,"60707",42712,58,7,3,29,26405,810,39.1,1,3,-0.326617387405818
"56",56,"60827",1,2010,"60827",28547,3,92,0,4,16567,720,31,1,5,-0.725394351980866
"57",1,"60601",1,2011,"60601",9732,63,11,18,6,89136,1717,36.6,2,2,2.21614310911353
"58",2,"60602",1,2011,"60602",1463,62,2,22,12,66748,1487,32.4,2,2,1.30866001469331
"59",3,"60603",1,2011,"60603",882,61,4,30,5,73239,2001,26.1,2,2,1.57176849985865
"60",57,"60605",1,2011,"60605",24972,58,18,17,5,58338,1560,33.1,2,3,0.967766106167574
"61",4,"60606",1,2011,"60606",2789,75,2,13,9,83005,1855,30.9,2,2,1.96762699101945
